example_id,language,vuln_type,source_id,source_path,dataset_path,line,tools,survey_tool,survey_role
EX001,java,sqli,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02264.java,dataset/java/sqli/EX001/BenchmarkTest02264.java,57,bearer|codeql|semgrep,semgrep,validation
EX002,java,sqli,webgoat,webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson9.java,dataset/java/sqli/EX002/SqlInjectionLesson9.java,94,bearer|semgrep,semgrep,calibration
EX003,java,sqli,juliet-java,juliet-java/Java/src/testcases/CWE89_SQL_Injection/s03/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_02.java,dataset/java/sqli/EX003/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_02.java,48,semgrep,semgrep,dataset_only
EX004,java,sqli,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01309.java,dataset/java/sqli/EX004/BenchmarkTest01309.java,52,bearer,,dataset_only
EX005,java,sqli,webgoat,webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson9.java,dataset/java/sqli/EX005/SqlInjectionLesson9.java,65,bearer|codeql|semgrep,semgrep,dataset_only
EX006,java,xss,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01049.java,dataset/java/xss/EX006/BenchmarkTest01049.java,55,bearer|codeql|semgrep,codeql,validation
EX007,java,xss,juliet-java,juliet-java/Java/src/testcases/CWE83_XSS_Attribute/CWE83_XSS_Attribute__Servlet_getQueryString_Servlet_41.java,dataset/java/xss/EX007/CWE83_XSS_Attribute__Servlet_getQueryString_Servlet_41.java,32,codeql,codeql,calibration
EX008,java,xss,juliet-java,juliet-java/Java/src/testcases/CWE80_XSS/s01/CWE80_XSS__CWE182_Servlet_listen_tcp_72b.java,dataset/java/xss/EX008/CWE80_XSS__CWE182_Servlet_listen_tcp_72b.java,32,codeql,codeql,dataset_only
EX009,java,xss,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01723.java,dataset/java/xss/EX009/BenchmarkTest01723.java,80,bearer|semgrep,,dataset_only
EX010,java,xss,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01245.java,dataset/java/xss/EX010/BenchmarkTest01245.java,88,codeql,codeql,dataset_only
EX011,java,path-traversal,juliet-java,juliet-java/Java/src/testcases/CWE36_Absolute_Path_Traversal/CWE36_Absolute_Path_Traversal__getCookies_Servlet_01.java,dataset/java/path-traversal/EX011/CWE36_Absolute_Path_Traversal__getCookies_Servlet_01.java,56,bearer|codeql|semgrep,bearer,validation
EX012,java,path-traversal,webgoat,webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRetrieval.java,dataset/java/path-traversal/EX012/ProfileUploadRetrieval.java,101,bearer,bearer,calibration
EX013,java,path-traversal,webgoat,webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileZipSlip.java,dataset/java/path-traversal/EX013/ProfileZipSlip.java,81,codeql,,dataset_only
