block,survey_role,example_id,language,vuln_type,tool
TC1,calibration,EX002,java,sqli,semgrep
TC2,calibration,EX007,java,xss,codeql
TC3,calibration,EX012,java,path-traversal,bearer
TC4,calibration,EX017,java,cmd-injection,semgrep
TC5,calibration,EX021,python,sqli,codeql
TC6,calibration,EX029,python,xss,semgrep
TC7,calibration,EX031,python,path-traversal,codeql
TC8,calibration,EX039,python,cmd-injection,bearer
TC9,calibration,EX042,javascript,sqli,bearer
TC10,calibration,EX046,javascript,xss,bearer
TC11,calibration,EX051,javascript,path-traversal,semgrep
TC12,calibration,EX058,javascript,cmd-injection,codeql
TV1,validation,EX001,java,sqli,semgrep
TV2,validation,EX006,java,xss,codeql
TV3,validation,EX011,java,path-traversal,bearer
TV4,validation,EX019,java,cmd-injection,semgrep
TV5,validation,EX025,python,sqli,codeql
TV6,validation,EX030,python,xss,semgrep
TV7,validation,EX032,python,path-traversal,codeql
TV8,validation,EX037,python,cmd-injection,bearer
TV9,validation,EX041,javascript,sqli,bearer
TV10,validation,EX047,javascript,xss,bearer
TV11,validation,EX052,javascript,path-traversal,semgrep
TV12,validation,EX060,javascript,cmd-injection,codeql
